# Duration	Amplitude
-5.000000000000000000e+00 3.898171832519376111e-17
-4.989989989989989994e+00 2.005687432822816571e-03
-4.979979979979979987e+00 4.017450608389117397e-03
-4.969969969969969981e+00 6.033336882292448557e-03
-4.959959959959959974e+00 8.051381791367315244e-03
-4.949949949949949968e+00 1.006961090542175287e-02
-4.939939939939939961e+00 1.208604169561285427e-02
-4.929929929929929955e+00 1.409868541775274875e-02
-4.919919919919919948e+00 1.610554900880841259e-02
-4.909909909909909942e+00 1.810463699484241712e-02
-4.899899899899899935e+00 2.009395340862383389e-02
-4.889889889889889929e+00 2.207150371512410850e-02
-4.879879879879879923e+00 2.403529674309630437e-02
-4.869869869869869916e+00 2.598334662092829928e-02
-4.859859859859859910e+00 2.791367471494570970e-02
-4.849849849849849903e+00 2.982431156833417057e-02
-4.839839839839839897e+00 3.171329883884234369e-02
-4.829829829829829890e+00 3.357869123342266393e-02
-4.819819819819819884e+00 3.541855843796074682e-02
-4.809809809809809877e+00 3.723098704024599415e-02
-4.799799799799799871e+00 3.901408244433236805e-02
-4.789789789789789864e+00 4.076597077444134992e-02
-4.779779779779779858e+00 4.248480076656210858e-02
-4.769769769769769852e+00 4.416874564590850261e-02
-4.759759759759759845e+00 4.581600498839992486e-02
-4.749749749749749839e+00 4.742480656433963049e-02
-4.739739739739739832e+00 4.899340816247708258e-02
-4.729729729729729826e+00 5.052009939265022370e-02
-4.719719719719719819e+00 5.200320346521821596e-02
-4.709709709709709813e+00 5.344107894551058252e-02
-4.699699699699699806e+00 5.483212148153578797e-02
-4.689689689689689800e+00 5.617476550320955192e-02
-4.679679679679679793e+00 5.746748589138652580e-02
-4.669669669669669787e+00 5.870879961499780170e-02
-4.659659659659659781e+00 5.989726733462265307e-02
-4.649649649649649774e+00 6.103149497084727620e-02
-4.639639639639639768e+00 6.211013523579098777e-02
-4.629629629629629761e+00 6.313188912620761040e-02
-4.619619619619619755e+00 6.409550737660200947e-02
-4.609609609609609748e+00 6.499979187083160248e-02
-4.599599599599599742e+00 6.584359701069683601e-02
-4.589589589589589735e+00 6.662583104005936896e-02
-4.579579579579579729e+00 6.734545732306274068e-02
-4.569569569569569722e+00 6.800149557506834919e-02
-4.559559559559559716e+00 6.859302304495799862e-02
-4.549549549549549710e+00 6.911917564749600618e-02
-4.539539539539539703e+00 6.957914904448446458e-02
-4.529529529529529697e+00 6.997219967348948522e-02
-4.519519519519519690e+00 7.029764572295989222e-02
-4.509509509509509684e+00 7.055486805260655081e-02
-4.499499499499499677e+00 7.074331105795639285e-02
-4.489489489489489671e+00 7.086248347804445513e-02
-4.479479479479479664e+00 7.091195914525555422e-02
-4.469469469469469658e+00 7.089137767637827825e-02
-4.459459459459459651e+00 7.080044510398487978e-02
-4.449449449449449645e+00 7.063893444730365290e-02
-4.439439439439439639e+00 7.040668622180294711e-02
-4.429429429429429632e+00 7.010360888676123170e-02
-4.419419419419419626e+00 6.972967923015176150e-02
-4.409409409409409619e+00 6.928494269022736352e-02
-4.399399399399399613e+00 6.876951361324661061e-02
-4.389389389389389606e+00 6.818357544684112981e-02
-4.379379379379379600e+00 6.752738086858080246e-02
-4.369369369369369593e+00 6.680125184935362115e-02
-4.359359359359359587e+00 6.600557965123499127e-02
-4.349349349349349581e+00 6.514082475958204999e-02
-4.339339339339339574e+00 6.420751674914830509e-02
-4.329329329329329568e+00 6.320625408407506973e-02
-4.319319319319319561e+00 6.213770385167621813e-02
-4.309309309309309555e+00 6.100260142999592433e-02
-4.299299299299299548e+00 5.980175008917824192e-02
-4.289289289289289542e+00 5.853602052675109524e-02
-4.279279279279279535e+00 5.720635033698834998e-02
-4.269269269269269529e+00 5.581374341457536609e-02
-4.259259259259259522e+00 5.435926929286592074e-02
-4.249249249249249516e+00 5.284406241707950702e-02
-4.239239239239239510e+00 5.126932135285167808e-02
-4.229229229229229503e+00 4.963630793060858776e-02
-4.219219219219219497e+00 4.794634632630169480e-02
-4.209209209209209490e+00 4.620082207909765454e-02
-4.199199199199199484e+00 4.440118104668000498e-02
-4.189189189189189477e+00 4.254892829887920586e-02
-4.179179179179179471e+00 4.064562695040926238e-02
-4.169169169169169464e+00 3.869289693354566184e-02
-4.159159159159159458e+00 3.669241371164144033e-02
-4.149149149149149451e+00 3.464590693443466568e-02
-4.139139139139139445e+00 3.255515903615908285e-02
-4.129129129129129439e+00 3.042200377752571003e-02
-4.119119119119119432e+00 2.824832473270183844e-02
-4.109109109109109426e+00 2.603605372246515712e-02
-4.099099099099099419e+00 2.378716919476927052e-02
-4.089089089089089413e+00 2.150369455400810703e-02
-4.079079079079079406e+00 1.918769644031986105e-02
-4.069069069069069400e+00 1.684128296032292096e-02
-4.059059059059059393e+00 1.446660187072549945e-02
-4.049049049049049387e+00 1.206583871630294638e-02
-4.039039039039039380e+00 9.641214923780084059e-03
-4.029029029029029374e+00 7.194985853207469181e-03
-4.019019019019019368e+00 4.729438808463251077e-03
-4.009009009009009361e+00 2.246891008557658914e-03
-3.998998998998998911e+00 -2.503124785412164034e-04
-3.988988988988988904e+00 -2.759800837796306909e-03
-3.978978978978978898e+00 -5.279179642908911167e-03
-3.968968968968968891e+00 -7.806033024199950619e-03
-3.958958958958958885e+00 -1.033792586669134324e-02
-3.948948948948948878e+00 -1.287240603647539332e-02
-3.938938938938938872e+00 -1.540700663342441448e-02
-3.928928928928928865e+00 -1.793924826826558822e-02
-3.918918918918918859e+00 -2.046664136201058540e-02
-3.908908908908908852e+00 -2.298668846570380009e-02
-3.898898898898898846e+00 -2.549688659842493446e-02
-3.888888888888888840e+00 -2.799472960145762274e-02
-3.878878878878878833e+00 -3.047771050650949221e-02
-3.868868868868868827e+00 -3.294332391585246683e-02
-3.858858858858858820e+00 -3.538906839222746153e-02
-3.848848848848848814e+00 -3.781244885634291175e-02
-3.838838838838838807e+00 -4.021097898977977342e-02
-3.828828828828828801e+00 -4.258218364110142456e-02
-3.818818818818818794e+00 -4.492360123295643243e-02
-3.808808808808808788e+00 -4.723278616794859830e-02
-3.798798798798798781e+00 -4.950731123104616660e-02
-3.788788788788788775e+00 -5.174476998629066321e-02
-3.778778778778778769e+00 -5.394277916556514813e-02
-3.768768768768768762e+00 -5.609898104717842005e-02
-3.758758758758758756e+00 -5.821104582202269589e-02
-3.748748748748748749e+00 -6.027667394506197596e-02
-3.738738738738738743e+00 -6.229359846991656957e-02
-3.728728728728728736e+00 -6.425958736431118534e-02
-3.718718718718718730e+00 -6.617244580416493938e-02
-3.708708708708708723e+00 -6.803001844411056542e-02
-3.698698698698698717e+00 -6.983019166224374574e-02
-3.688688688688688710e+00 -7.157089577691526372e-02
-3.678678678678678704e+00 -7.325010723339885066e-02
-3.668668668668668698e+00 -7.486585075828249003e-02
-3.658658658658658691e+00 -7.641620147945328567e-02
-3.648648648648648685e+00 -7.789928700956784413e-02
-3.638638638638638678e+00 -7.931328949092471270e-02
-3.628628628628628672e+00 -8.065644759968199073e-02
-3.618618618618618665e+00 -8.192705850739030737e-02
-3.608608608608608659e+00 -8.312347979784411034e-02
-3.598598598598598652e+00 -8.424413133728393677e-02
-3.588588588588588646e+00 -8.528749709601780860e-02
