x, y
0.000000000000000000e+00 0.000000000000000000e+00
6.289474781961547356e-03 5.882939652008050135e-01
1.257894956392309471e-02 9.514444746831766109e-01
1.886842434588464207e-02 9.504717573001115749e-01
2.515789912784618942e-02 5.857480775418396624e-01
3.144737390980773678e-02 -3.144732207735998451e-03
3.773684869176928414e-02 -5.908340350059577695e-01
4.402632347373083149e-02 -9.524077828844511595e-01
5.031579825569237885e-02 -9.494896403548136465e-01
5.660527303765392620e-02 -5.831963972062739199e-01
6.289474781961547356e-02 6.289433316067026374e-03
6.918422260157702786e-02 5.933682618376204809e-01
7.547369738353856827e-02 9.533616723774290813e-01
8.176317216550010869e-02 9.484981335597957308e-01
8.805264694746166299e-02 5.806389494286068320e-01
9.434212172942321728e-02 -9.434072225897000702e-03
1.006315965113847577e-01 -5.958966206338964788e-01
1.069210712933462981e-01 -9.543061337287483958e-01
1.132105460753078524e-01 -9.474972467204302307e-01
1.195000208572694067e-01 -5.780757595003719329e-01
1.257894956392309471e-01 1.257861783873961102e-02
1.320789704211924875e-01 5.984190863909256697e-01
1.383684452031540557e-01 9.552411575982869829e-01
1.446579199851155961e-01 9.464869897348529015e-01
1.509473947670771365e-01 5.755068527698911085e-01
1.572368695490386770e-01 -1.572303905703785476e-02
1.635263443310002174e-01 -6.009356341631204579e-01
1.698158191129617856e-01 -9.561667347392505123e-01
1.761052938949233260e-01 -9.454673725938644857e-01
1.823947686768848664e-01 -5.729322546420210216e-01
1.886842434588464346e-01 1.886730478446758258e-02
1.949737182408079750e-01 6.034462390634252049e-01
2.012631930227695154e-01 9.570828559982699213e-01
2.075526678047310558e-01 9.444384053808292379e-01
2.138421425866925962e-01 5.703519905779038668e-01
2.201316173686541644e-01 -2.201138392622636192e-02
2.264210921506157048e-01 -6.059508762635458234e-01
2.327105669325772452e-01 -9.579895123154875680e-01
2.390000417145388134e-01 -9.434000982715822214e-01
2.452895164965003538e-01 -5.677660860947087995e-01
2.515789912784618942e-01 2.515524538937295371e-02
2.578684660604234624e-01 6.084495209942162308e-01
2.641579408423849751e-01 9.588866947246489358e-01
2.704474156243465433e-01 9.423524615343189526e-01
2.767368904063081114e-01 5.651745667653922389e-01
2.830263651882696241e-01 -2.829885808311350184e-02
2.893158399702311923e-01 -6.109421485454207268e-01
2.956053147521927049e-01 -9.597743943531877875e-01
3.018947895341542731e-01 -9.412955055295041396e-01
3.081842643161158413e-01 -5.625774582184378536e-01
3.144737390980773539e-01 3.144219091911432118e-02
3.207632138800389221e-01 6.134287342666582266e-01
3.270526886620004348e-01 9.606526024223193128e-01
3.333421634439620029e-01 9.402292407097592175e-01
3.396316382259235711e-01 5.599747861375975466e-01
3.459211130078850838e-01 -3.458521281181288487e-02
3.522105877898466519e-01 -6.159092535671747415e-01
3.585000625718082201e-01 -9.615213102471252826e-01
3.647895373537697328e-01 -9.391536776197686454e-01
3.710790121357313009e-01 -5.573665762616457631e-01
3.773684869176928691e-01 3.772789267871816399e-02
3.836579616996543818e-01 6.183836819162091825e-01
3.899474364816159500e-01 9.623805092366327640e-01
3.962369112635774626e-01 9.380688268961673293e-01
4.025263860455390308e-01 5.547528543841221405e-01
4.088158608275005990e-01 -4.087019944071086652e-02
4.151053356094621116e-01 -6.208519948432417168e-01
4.213948103914236798e-01 -9.632301908939114865e-01
4.276842851733851925e-01 -9.369746992674401476e-01
4.339737599553467606e-01 -5.521336463530767125e-01
4.402632347373083288e-01 4.401210202237926250e-02
4.465527095192698415e-01 6.233141679382134814e-01
4.528421843012314096e-01 9.640703468161491152e-01
4.591316590831929778e-01 9.358713055538122605e-01
4.654211338651544905e-01 5.495089780708138916e-01
4.717106086471160586e-01 -4.715356935230157615e-02
4.780000834290776268e-01 -6.257701768518013630e-01
4.842895582110391395e-01 -9.649009686947369602e-01
4.905790329930007077e-01 -9.347586566671518549e-01
4.968685077749622203e-01 -5.468788754936307894e-01
5.031579825569237885e-01 5.029457036336040104e-02
5.094474573388853011e-01 6.282199972956364897e-01
5.157369321208469248e-01 9.657220483153540203e-01
5.220264069028084375e-01 9.336367636108475754e-01
5.283158816847699502e-01 5.442433646315838480e-01
5.346053564667315738e-01 -5.343507399305703898e-02
5.408948312486930865e-01 -6.306636050425554751e-01
5.471843060306545992e-01 -9.665335775580384814e-01
5.534737808126162228e-01 -9.325056374797069392e-01
5.597632555945777355e-01 -5.416024715481903007e-01
5.660527303765392482e-01 5.657504918378318537e-02
5.723422051585007608e-01 6.331009759268128034e-01
5.786316799404623845e-01 9.673355483972887470e-01
5.849211547224238972e-01 9.313652894598568599e-01
5.912106295043854098e-01 5.389562223602241131e-01
5.975001042863470335e-01 -5.971446488320612117e-02
6.037895790683085462e-01 -6.355320858443798127e-01
6.100790538502700588e-01 -9.681279529021169505e-01
6.163685286322316825e-01 -9.302157308286049808e-01
6.226580034141931952e-01 -5.363046432373855810e-01
6.289474781961547079e-01 6.285329004446939261e-02
6.352369529781163315e-01 6.379569107531117833e-01
6.415264277600778442e-01 9.689107832361473216e-01
6.478159025420393569e-01 9.290569729543667332e-01
6.541053773240008695e-01 5.336477604021329091e-01
6.603948521059624932e-01 -6.599149362662044827e-02
6.666843268879240059e-01 -6.403754266730246059e-01
6.729738016698855185e-01 -9.696840316576832430e-01
6.792632764518471422e-01 -9.278890272965113484e-01
6.855527512338086549e-01 -5.309856001293263850e-01
6.918422260157701675e-01 6.912904459477570152e-02
6.981317007977317912e-01 6.427876096865311473e-01
7.044211755796933039e-01 9.704476905197939596e-01
7.107106503616548165e-01 9.267119054052903593e-01
7.170001251436164402e-01 5.283181887460528525e-01
7.232895999255779529e-01 -7.226591192058356983e-02
7.295790747075394655e-01 -6.451934359386894968e-01
7.358685494895010892e-01 -9.712017522703746408e-01
7.421580242714626019e-01 -9.255256189216812812e-01
7.484474990534241146e-01 -5.256455526313296156e-01
7.547369738353857382e-01 7.540206458240356069e-02
7.610264486173472509e-01 6.475928816373942576e-01
7.673159233993087636e-01 9.719462094522298701e-01
7.736053981812702762e-01 9.243301795773151142e-01
7.798948729632318999e-01 5.229677182158067872e-01
7.861843477451934126e-01 -7.853747156566280585e-02
7.924738225271549252e-01 -6.499859230536401133e-01
7.987632973091165489e-01 -9.726810547031576881e-01
8.050527720910780616e-01 -9.231255991943170258e-01
8.113422468730395742e-01 -5.202847119815907639e-01
8.176317216550011979e-01 8.167210186320522647e-02
8.239211964369627106e-01 6.523725365217885042e-01
8.302106712189242232e-01 9.734062807560015518e-01
8.365001460008858469e-01 9.219118896852277478e-01
8.427896207828473596e-01 5.175965604618856242e-01
8.490790955648088723e-01 -8.480592447549900603e-02
8.553685703467703849e-01 -6.547526984397259442e-01
8.616580451287320086e-01 -9.741218804387331565e-01
8.679475199106935213e-01 -9.206890630528691277e-01
8.742369946926550339e-01 -5.149032902408274825e-01
8.805264694746166576e-01 8.793890841105646283e-02
8.868159442565781703e-01 6.571263852691836549e-01
8.931054190385396829e-01 9.748278466745323723e-01
8.993948938205013066e-01 9.194571313902093479e-01
9.056843686024628193e-01 5.122049279531244448e-01
9.119738433844243319e-01 -9.107102268662727040e-02
9.182633181663859556e-01 -6.594935735358949946e-01
9.245527929483474683e-01 -9.755241724818380922e-01
9.308422677303089809e-01 -9.182161068802815462e-01
9.371317425122706046e-01 -5.095015002838787499e-01
9.434212172942321173e-01 9.420223632761809407e-02
9.497106920761936300e-01 6.618542398298605800e-01
9.560001668581552536e-01 9.762108509744270579e-01
9.622896416401167663e-01 9.169660017960187259e-01
9.685791164220782790e-01 5.067930339682856777e-01
9.748685912040397916e-01 -9.733251836828571424e-02
9.811580659860014153e-01 -6.642083608056106314e-01
